series,qlib_annualized_return,qlib_information_ratio,qlib_max_drawdown,compounded_annualized_return,compounded_information_ratio,compounded_max_drawdown
strategy_gross,0.2004207664307221,0.9692275161847412,-0.21988591529647192,0.19588168940859174,0.8619809520984814,-0.20551567672385496
strategy_after_cost,0.2004207664307221,0.9692275161847412,-0.21988591529647192,0.19588168940859174,0.8619809520984814,-0.20551567672385496
SH000300,0.11786439621691516,0.6211552789949955,-0.3704789175000001,0.1049481211588068,0.5246842012950972,-0.3246208737252061
excess_without_cost,0.08255637021380693,0.9208653368737696,-0.11385008157208115,0.08169717268464005,0.8764806298074141,-0.10896634322750731
excess_after_cost,0.08255637021380693,0.9208653368737696,-0.11385008157208115,0.08169717268464005,0.8764806298074141,-0.10896634322750731
