datetime,strategy_zero_cost,SH000300_benchmark,strategy_excess
2017-01-03,0.0,0.00971269600000002,-0.00971269600000002
2017-01-04,0.011038928378329205,0.017591687825938784,-0.006508396951236506
2017-01-05,0.014567441707692863,0.017434596061011165,-0.002887752280276823
2017-01-06,0.010932026216188273,0.011356143879293068,-0.0005035814983891385
2017-01-09,0.016716961639547057,0.01625932245708306,0.00037023387712897815
2017-01-10,0.0100916159230382,0.014558471424157116,-0.004474331403002574
2017-01-11,0.00205908978507674,0.007377313947426689,-0.0053445839389220096
2017-01-12,-0.004712066006714144,0.0022776859038222685,-0.007030485106566342
2017-01-13,-0.011568240674710295,0.002969599283786817,-0.014556176600953208
2017-01-16,-0.01965031235036574,0.0028305471773542035,-0.022477194610816542
2017-01-17,-0.013954893026712822,0.004918191474035716,-0.018833158143693685
2017-01-18,-0.01336407972722542,0.008848564797633962,-0.02208274630439233
2017-01-19,-0.013303371378128537,0.005803296891575549,-0.019070674471032723
2017-01-20,0.0007164397863732574,0.013537277513151924,-0.012675525749530903
2017-01-23,0.007986090652821076,0.01631354970188048,-0.008207630411892763
2017-01-24,0.0037662722940954296,0.016425374858592745,-0.012468782698485614
2017-01-25,0.009429996009129749,0.019884581435401394,-0.010257535753869451
2017-01-26,0.015483873025563089,0.023527960816492444,-0.007857432556025112
2017-02-03,0.008429229050571863,0.01643748089851016,-0.007876864786592552
2017-02-06,0.013152087285824399,0.01907193275707697,-0.005801806961102773
2017-02-07,0.012588795587880952,0.016797105766521048,-0.004135258188614377
2017-02-08,0.01830328162330863,0.022117206835269076,-0.0037257318190658806
2017-02-09,0.02217322407281186,0.026044542768998147,-0.003767546277276268
2017-02-10,0.027354690066131004,0.031240810123180918,-0.0037628637817492816
2017-02-13,0.036387536399443476,0.038122749469949646,-0.001651957295332629
2017-02-14,0.03500738960225047,0.03798074189764322,-0.002844880599246702
2017-02-15,0.028046427567875787,0.03372406695156105,-0.0054620140898560265
2017-02-16,0.03490408020267077,0.03953051829441945,-0.004414224006141554
2017-02-17,0.02771036770750901,0.03364237897049893,-0.005695405165995204
2017-02-20,0.03916203588308487,0.04873273492413466,-0.009132029610437242
2017-02-21,0.04704271738246146,0.05218575100707623,-0.004880088114057157
2017-02-22,0.04755932628195714,0.05428231876303102,-0.006371957146662499
2017-02-23,0.0452376282205067,0.049315686798184766,-0.0038932327335435835
2017-02-24,0.04889705151852097,0.04947579966477722,-0.0005578125887656382
2017-02-27,0.04324613956536738,0.041128580848556195,0.002006978876814447
2017-02-28,0.04574751815110312,0.04311946460970928,0.0024934048106650675
2017-03-01,0.049655682053335815,0.04482031752419546,0.004605309286496828
2017-03-02,0.04277506499569195,0.03776916340956138,0.004799758788606834
2017-03-03,0.041940352962299254,0.03558187830678006,0.006113241071577402
2017-03-06,0.05125564025593676,0.041207169114886755,0.009643005390710613
2017-03-07,0.05516636650982032,0.043466926335350875,0.011207677706092989
2017-03-08,0.05540767881794939,0.04188685028134609,0.012970164131941075
2017-03-09,0.04875077507079428,0.035303926809931996,0.012981151796281898
2017-03-10,0.047614385162287,0.035590873302772774,0.011602761132193162
2017-03-13,0.05399700291603926,0.04471756052337095,0.008850697722240675
2017-03-14,0.05367564050333562,0.044291633593100954,0.008954404525465698
2017-03-15,0.058534429027245816,0.04639126953850781,0.011578383634039069
2017-03-16,0.06139628100107819,0.05178987311339589,0.009094290439364716
2017-03-17,0.051632491592922714,0.04100466724495955,0.010159026462554177
2017-03-20,0.051919593344619486,0.04215269250112108,0.009320797192239327
2017-03-21,0.05227094944408894,0.04720989736976855,0.00476004159836374
2017-03-22,0.046533783451993216,0.04228557127195365,0.00400662630312576
2017-03-23,0.050449435514206,0.04588969461376857,0.004291402712480741
2017-03-24,0.05810901636293542,0.054233888360352145,0.0036020930490028302
2017-03-27,0.059114862637884125,0.050741520378743576,0.007880764317435451
2017-03-28,0.05570723258700072,0.04825520872000322,0.007022869111573238
2017-03-29,0.05580381214479391,0.046859448313899765,0.008455854072038749
2017-03-30,0.04631799452494989,0.03827046903301934,0.007669328085480709
2017-03-31,0.048112010003626526,0.04409812543513114,0.0037411798225766013
2017-04-05,0.06999031969737124,0.05855101562688536,0.010799041332363535
2017-04-06,0.07384247022152657,0.06162043969198461,0.01150713279401594
2017-04-07,0.07963905794196013,0.06265059752367774,0.015985705469054645
2017-04-10,0.08531796217066345,0.058928613117417594,0.024888331295539023
2017-04-11,0.09989215909929627,0.06261136754347496,0.03508667993347969
2017-04-12,0.09569740222683287,0.06022775895312238,0.03346094377868103
2017-04-13,0.09871186436755597,0.0617775408364738,0.03479352649846601
2017-04-14,0.09279915403857109,0.053297352961761746,0.037489464645126924
2017-04-17,0.07847396794034367,0.05131553207092954,0.025841394889469127
2017-04-18,0.06979926185763996,0.04611930412737797,0.02266035851833026
2017-04-19,0.05849887554235367,0.041025703206332365,0.01683728298316267
2017-04-20,0.05274958949286135,0.045759743648072115,0.006690239661162778
2017-04-21,0.052269788684172314,0.04734273066892314,0.004707584099789219
2017-04-24,0.03419786217057541,0.03660887007148306,-0.0022505905974429252
2017-04-25,0.03759973259457561,0.039542379153360674,-0.0017921533410116819
2017-04-26,0.0445611050364616,0.04081420197546959,0.003683682241352848
2017-04-27,0.042323699279327665,0.04127948218571942,0.0010851526225852393
2017-04-28,0.046237122584146695,0.03917379973614299,0.006868146256231444
2017-05-02,0.04174409423359715,0.03519504850197008,0.006399247094416305
2017-05-03,0.03544698499913923,0.03113163464510693,0.004266172262155754
2017-05-04,0.03480031678280904,0.028491241543448842,0.006210576795269596
2017-05-05,0.025528025733120296,0.021893276564046937,0.0036494934028692416
2017-05-08,0.019328302443686773,0.014721233769854347,0.004626035369069692
2017-05-09,0.02162983884689562,0.012824031295581406,0.008772703294017692
2017-05-10,0.01149778831803383,0.008343744740374692,0.0032305291356149457
2017-05-11,0.01131859986181949,0.014068698026981519,-0.0026431173532101004
2017-05-12,0.01547551157720739,0.02274822153281386,-0.007080078984159854
2017-05-15,0.01747354960384162,0.02692036130833797,-0.00917688101651648
2017-05-16,0.03364697576733944,0.03582042745738856,-0.0020143015957370114
2017-05-17,0.03453779612467667,0.030177047816465796,0.004283032703410017
2017-05-18,0.0274986664910839,0.026594101727824393,0.0009426473601179541
2017-05-19,0.0303613596056429,0.028328219967449053,0.0020405653746908836
2017-05-22,0.02406366662174908,0.03056076125479601,-0.006259497245070467
2017-05-23,0.018630988959834616,0.03447311926461727,-0.015303885759597624
2017-05-24,0.020196695847232382,0.03446701498356686,-0.013784528587950207
2017-05-25,0.043467058968038375,0.05304364985046606,-0.008999415171003222
2017-05-26,0.04507704768951282,0.051463633988921176,-0.005983453420666307
2017-05-31,0.04619403243588338,0.055224963767848134,-0.008476870647026402
2017-06-01,0.029735333207064896,0.056693215178864165,-0.02545510454072597
2017-06-02,0.03460707669709895,0.053300528525183744,-0.017715534511830278
2017-06-05,0.03978226230155579,0.04793514992869374,-0.007798438879426106
2017-06-06,0.045475070025976505,0.05522506678589645,-0.009268343974042415
2017-06-07,0.06296049603931153,0.06760847061665043,-0.00432504700938896
2017-06-08,0.06718969657112295,0.07579860273581773,-0.0080018513510427
2017-06-09,0.06750471860124052,0.08038760025835545,-0.011940557769185789
2017-06-12,0.061953796415489926,0.07984982825507103,-0.016586557247851186
2017-06-13,0.07072629000292219,0.0822303975878429,-0.010630834551383694
2017-06-14,0.06713533269978722,0.06804044152766253,-0.0009765587711316748
2017-06-15,0.07834912070711875,0.06607372419638602,0.011361116061531007
2017-06-16,0.07826510626086636,0.06304355174298526,0.014156979825228788
2017-06-19,0.08409872919348826,0.0735900854850502,0.009582238940676335
2017-06-20,0.08425746381815324,0.07142098410756059,0.011769841533535885
2017-06-21,0.09478312455492044,0.08394936574434553,0.009760946636320655
2017-06-22,0.09147753471541575,0.08466832822163117,0.006042318145202508
2017-06-23,0.09630412211413386,0.09449881286384487,0.0013732179596053218
2017-06-26,0.10973599856075245,0.10815713688099304,0.0011458010967972942
2017-06-27,0.11315844281751342,0.11016020903098367,0.002423709764195925
2017-06-28,0.10631948604799057,0.10153499002955746,0.004053255315198401
2017-06-29,0.112588751353917,0.10838074139042364,0.0035030728244531684
2017-06-30,0.11322667558664379,0.10776746335324305,0.0046336988629966935
2017-07-03,0.11768387817932946,0.10294879962227288,0.013026153961804399
2017-07-04,0.11083336429772905,0.0936227995028347,0.015382766591988561
2017-07-05,0.12315966741573403,0.10561644810183402,0.01551430903200135
2017-07-06,0.12614919303146377,0.10574323946639552,0.01810085538164663
2017-07-07,0.13279721714449688,0.1044834847701579,0.025270940297137834
2017-07-10,0.1356318335138187,0.1038067282537547,0.028464712124051994
2017-07-11,0.13376021415724093,0.10897876954307151,0.02195069773827618
2017-07-12,0.13614209538105593,0.10535647392834546,0.027435714682177093
2017-07-13,0.1447097813947651,0.11384567631146902,0.027292875804234118
2017-07-14,0.146983662414494,0.11873081298016053,0.024827985969561484
2017-07-17,0.1306980054826632,0.10678854726091225,0.02121664734007389
2017-07-18,0.13406944113519526,0.10788219357960527,0.02325254867547799
2017-07-19,0.15898210131346668,0.12678508674043076,0.028271913438444596
2017-07-20,0.16454636247591092,0.13226225157929528,0.02821033200960632
2017-07-21,0.16444929591082413,0.1264376245126244,0.03341398841901366
2017-07-24,0.17037638179735248,0.13093002334551151,0.03455269330741051
2017-07-25,0.16187866338986434,0.12370664379491614,0.03364895258867873
2017-07-26,0.16517459958729686,0.11942580321509566,0.040518895087567675
2017-07-27,0.17385927653747646,0.12148007023809693,0.04636498126085686
2017-07-28,0.1786187036921425,0.12441057347368178,0.04787325876648252
2017-07-31,0.18561509742346782,0.1292381650550778,0.04959455192987039
2017-08-01,0.19255586167277028,0.1390597252880259,0.04661017289314362
2017-08-02,0.1827374270745994,0.13618064407731034,0.040638730325569306
2017-08-03,0.1804937462873617,0.12620504278460842,0.04780136285249803
2017-08-04,0.18467241627201036,0.120087351711752,0.05720212520372625
