datetime,rank_ic,rolling_20d,cumulative_rank_ic
2017-01-03,0.13955157383944494,,0.13955157383944494
2017-01-04,0.01582190259385054,,0.1553734764332955
2017-01-05,-0.01142283481658346,,0.14395064161671203
2017-01-06,-0.05136802861031357,,0.09258261300639847
2017-01-09,-0.03137400147235673,,0.061208611534041744
2017-01-10,-0.02321660001685769,,0.03799201151718405
2017-01-11,0.014651930905926158,,0.05264394242311021
2017-01-12,0.0004792018910794276,,0.053123144314189644
2017-01-13,0.049943719654543875,,0.10306686396873352
2017-01-16,0.16197128854550674,0.026503815251424024,0.26503815251424023
2017-01-17,0.13922282391750035,0.03675099785743096,0.4042609764317406
2017-01-18,0.20155780290745443,0.05048489827826625,0.605818779339195
2017-01-19,0.23589646190579555,0.06474732624961466,0.8417152412449906
2017-01-20,0.026311028412454234,0.0620018764041032,0.8680262696574449
2017-01-23,0.10418203412369693,0.06481388691874278,0.9722083037811419
2017-01-24,-0.0129677114188886,0.05995253702264082,0.9592405923622532
2017-01-25,-0.08595814541744667,0.051369555702635676,0.8732824469448066
2017-01-26,-0.09064140350064401,0.043480057969120134,0.7826410434441626
2017-02-03,0.015755793523090863,0.04202088615617122,0.7983968369672535
2017-02-06,0.0688416652795502,0.043361925112340174,0.8672385022468037
2017-02-07,0.06589458817207247,0.03967907582897155,0.9331330904188762
2017-02-08,0.010585421269938937,0.039417251762775975,0.943718511688815
2017-02-09,0.06636463894137765,0.04330662545067403,1.0100831506301926
2017-02-10,0.09280418016629455,0.05051523588950443,1.102887330796487
2017-02-13,0.10199230547881276,0.0571835512370629,1.2048796362752998
2017-02-14,0.05390448677439741,0.061039605576625654,1.2587841230496972
2017-02-15,-0.025653550359675294,0.05902433151334559,1.233130572690022
2017-02-16,-0.00024685600990328137,0.05898802861829646,1.2328837166801185
2017-02-17,-0.04538671745071055,0.054221506763033736,1.187496999229408
2017-02-20,0.11118546138044255,0.05168221540478053,1.2986824606098506
2017-02-21,0.13938490877498166,0.05169031964765458,1.4380673693848323
2017-02-22,0.08436612552139484,0.04583073577835161,1.522433494906227
2017-02-23,0.1005789147672964,0.03906485842142665,1.6230124096735234
